idx,label,predict,radius,pA_lower,correct,abstain,seconds
0,3,6,0.334084,0.909280,0,0,2.059
20,7,6,0.633600,0.994368,0,0,1.666
40,4,6,0.322266,0.901312,0,0,1.663
60,7,6,0.354396,0.921844,0,0,1.663
80,8,6,0.337673,0.911603,0,0,1.665
100,4,6,0.209404,0.798876,0,0,1.665
120,8,6,0.405124,0.947437,0,0,1.666
140,6,6,0.325292,0.903400,1,0,1.666
160,2,6,0.050566,0.580144,0,0,1.666
180,0,6,0.220348,0.810948,0,0,1.666
200,5,6,0.419684,0.953398,0,0,1.666
220,7,6,0.489344,0.974848,0,0,1.666
240,1,6,0.361493,0.925908,0,0,1.666
260,8,6,0.368955,0.930004,0,0,1.668
280,9,6,0.404176,0.947029,0,0,1.666
300,6,6,0.441199,0.961201,1,0,1.667
320,3,6,0.121465,0.686467,0,0,1.665
340,2,6,0.343691,0.915397,0,0,1.666
360,9,6,0.354570,0.921946,0,0,1.666
380,6,6,0.471342,0.970310,1,0,1.665
400,9,6,0.456754,0.966151,0,0,1.666
420,4,6,0.215519,0.805677,0,0,1.665
440,1,6,0.278795,0.867614,0,0,1.666
460,5,2,0.078687,0.623524,0,0,1.666
480,8,6,0.499056,0.977045,0,0,1.665
500,4,6,0.288774,0.875975,0,0,1.666
520,5,6,0.252220,0.843484,0,0,1.666
540,1,6,0.566438,0.988267,0,0,1.666
560,0,6,0.167769,0.748915,0,0,1.666
580,4,6,0.036313,0.557743,0,0,1.667
600,8,6,0.229226,0.820403,0,0,1.667
620,7,6,0.429967,0.957272,0,0,1.666
640,5,6,0.228620,0.819768,0,0,1.667
660,9,6,0.350222,0.919376,0,0,1.667
680,9,6,0.567038,0.988340,0,0,1.669
700,7,6,0.353824,0.921509,0,0,1.669
720,4,6,0.466628,0.969015,0,0,1.669
740,2,6,0.064440,0.601704,0,0,1.668
760,3,6,0.465968,0.968830,0,0,1.667
780,9,6,0.834792,0.999580,0,0,1.667
800,7,6,0.470582,0.970104,0,0,1.667
820,6,6,0.456481,0.966069,1,0,1.667
840,7,6,0.545031,0.985376,0,0,1.667
860,4,6,0.302421,0.886800,0,0,1.666
880,8,6,0.125246,0.691808,0,0,1.667
900,2,-1,0.000000,0.422446,0,1,1.667
920,6,6,0.242340,0.833817,1,0,1.667
940,9,6,0.406484,0.948019,0,0,1.667
960,9,6,0.414662,0.951407,0,0,1.668
980,2,6,0.246110,0.837550,0,0,1.667
1000,5,6,0.325144,0.903298,0,0,1.667
1020,1,6,0.397183,0.943940,0,0,1.667
1040,7,2,0.183794,0.768883,0,0,1.668
1060,9,6,0.369714,0.930411,0,0,1.667
1080,6,6,0.293747,0.880000,1,0,1.668
1100,7,6,0.215446,0.805597,0,0,1.666
1120,5,6,0.366923,0.928906,0,0,1.668
1140,6,6,0.304568,0.888440,1,0,1.665
1160,8,6,0.369886,0.930502,0,0,1.665
1180,3,6,0.670464,0.996339,0,0,1.665
1200,8,6,0.175807,0.759043,0,0,1.664
1220,9,6,0.276998,0.866067,0,0,1.666
1240,2,6,0.190117,0.776512,0,0,1.665
1260,1,6,0.560782,0.987556,0,0,1.667
1280,3,6,0.321422,0.900724,0,0,1.667
1300,4,6,0.267086,0.857317,0,0,1.667
1320,7,6,0.436234,0.959502,0,0,1.668
1340,1,6,0.325604,0.903613,0,0,1.668
1360,7,6,0.219567,0.810101,0,0,1.667
1380,4,6,0.278571,0.867422,0,0,1.666
1400,5,6,0.184629,0.769900,0,0,1.666
1420,4,6,0.566524,0.988277,0,0,1.665
1440,0,6,0.296150,0.881912,0,0,1.667
1460,6,6,0.502422,0.977768,1,0,1.668
1480,1,6,0.315647,0.896631,0,0,1.666
1500,1,6,0.718353,0.997970,0,0,1.667
1520,7,6,0.412850,0.950672,0,0,1.666
1540,8,6,0.379912,0.935701,0,0,1.665
1560,7,6,0.296355,0.882074,0,0,1.666
1580,6,6,0.417681,0.952612,1,0,1.667
1600,8,6,0.559173,0.987347,0,0,1.668
1620,5,6,0.400559,0.945448,0,0,1.667
1640,7,6,0.210302,0.799884,0,0,1.668
1660,3,6,0.196179,0.783690,0,0,1.667
1680,6,6,0.184008,0.769145,1,0,1.668
1700,5,6,0.218140,0.808549,0,0,1.667
1720,4,6,0.314762,0.895993,0,0,1.667
1740,1,6,0.514353,0.980177,0,0,1.667
1760,0,6,0.284350,0.872314,0,0,1.667
1780,7,6,0.419291,0.953245,0,0,1.667
1800,4,6,0.316310,0.897107,0,0,1.667
1820,8,6,0.349393,0.918879,0,0,1.667
1840,8,6,0.417913,0.952704,0,0,1.667
1860,8,6,0.365730,0.928255,0,0,1.668
1880,1,6,0.409243,0.949182,0,0,1.667
1900,8,6,0.359298,0.924668,0,0,1.668
1920,2,6,0.482142,0.973108,0,0,1.667
1940,5,6,0.138080,0.709635,0,0,1.667
