idx,label,predict,radius,pA_lower,correct,abstain,seconds
0,3,3,0.376336,0.999144,1,0,2.057
20,7,7,0.153264,0.899235,1,0,1.662
40,4,4,0.457375,0.999931,1,0,1.660
60,7,7,0.457375,0.999931,1,0,1.660
80,8,8,0.457375,0.999931,1,0,1.661
100,4,4,0.319389,0.996111,1,0,1.660
120,8,8,0.179431,0.932577,1,0,1.660
140,6,6,0.274025,0.988801,1,0,1.660
160,2,2,0.094640,0.784847,1,0,1.662
180,0,0,0.420845,0.999773,1,0,1.661
200,5,3,0.037871,0.623845,0,0,1.661
220,7,7,0.045482,0.647661,1,0,1.661
240,1,1,0.457375,0.999931,1,0,1.662
260,8,8,0.448695,0.999908,1,0,1.661
280,9,9,0.373042,0.999060,1,0,1.661
300,6,6,0.457375,0.999931,1,0,1.661
320,3,3,0.283907,0.991007,1,0,1.661
340,2,2,0.057462,0.683977,1,0,1.662
360,9,9,0.457375,0.999931,1,0,1.662
380,6,6,0.457375,0.999931,1,0,1.663
400,9,9,0.457375,0.999931,1,0,1.662
420,4,4,0.423029,0.999788,1,0,1.660
440,1,1,0.457375,0.999931,1,0,1.662
460,5,5,0.457375,0.999931,1,0,1.662
480,8,8,0.095187,0.786177,1,0,1.662
500,4,6,0.059178,0.689047,0,0,1.664
520,5,5,0.388712,0.999401,1,0,1.664
540,1,1,0.457375,0.999931,1,0,1.663
560,0,0,0.457375,0.999931,1,0,1.663
580,4,4,0.438119,0.999869,1,0,1.663
600,8,8,0.223001,0.968440,1,0,1.663
620,7,7,0.457375,0.999931,1,0,1.663
640,5,5,0.090341,0.774227,1,0,1.663
660,9,9,0.241491,0.977913,1,0,1.663
680,9,1,0.101559,0.801314,0,0,1.662
700,7,7,0.457375,0.999931,1,0,1.661
720,4,4,0.411958,0.999702,1,0,1.662
740,2,2,0.155390,0.902325,1,0,1.663
760,3,3,0.438119,0.999869,1,0,1.662
780,9,9,0.457375,0.999931,1,0,1.662
800,7,7,0.457375,0.999931,1,0,1.661
820,6,6,0.274282,0.988864,1,0,1.662
840,7,7,0.457375,0.999931,1,0,1.662
860,4,4,0.172583,0.924810,1,0,1.661
880,8,8,0.457375,0.999931,1,0,1.662
900,2,6,0.081922,0.752596,0,0,1.662
920,6,6,0.096696,0.789822,1,0,1.662
940,9,9,0.457375,0.999931,1,0,1.662
960,9,9,0.442757,0.999888,1,0,1.663
980,2,2,0.323526,0.996492,1,0,1.660
1000,5,5,0.442757,0.999888,1,0,1.662
1020,1,1,0.457375,0.999931,1,0,1.663
1040,7,2,0.047404,0.653590,0,0,1.663
1060,9,9,0.457375,0.999931,1,0,1.662
1080,6,6,0.109145,0.818467,1,0,1.664
1100,7,7,0.195424,0.948294,1,0,1.662
1120,5,5,0.192036,0.945234,1,0,1.664
1140,6,6,0.401762,0.999593,1,0,1.661
1160,8,8,0.457375,0.999931,1,0,1.662
1180,3,3,0.300449,0.993856,1,0,1.661
1200,8,8,0.331424,0.997126,1,0,1.664
1220,9,6,0.059455,0.689860,0,0,1.663
1240,2,2,0.314293,0.995592,1,0,1.663
1260,1,1,0.187084,0.940506,1,0,1.663
1280,3,3,0.442757,0.999888,1,0,1.664
1300,4,3,0.275543,0.989168,0,0,1.663
1320,7,7,0.448695,0.999908,1,0,1.664
1340,1,1,0.448695,0.999908,1,0,1.664
1360,7,7,0.457375,0.999931,1,0,1.664
1380,4,4,0.040125,0.630953,1,0,1.663
1400,5,5,0.306336,0.994657,1,0,1.662
1420,4,4,0.090000,0.773372,1,0,1.663
1440,0,2,0.046215,0.649928,0,0,1.663
1460,6,6,0.457375,0.999931,1,0,1.664
1480,1,1,0.420845,0.999773,1,0,1.664
1500,1,1,0.457375,0.999931,1,0,1.661
1520,7,7,0.442757,0.999888,1,0,1.660
1540,8,8,0.457375,0.999931,1,0,1.663
1560,7,7,0.457375,0.999931,1,0,1.663
1580,6,6,0.018280,0.560537,1,0,1.662
1600,8,-1,0.000000,0.424303,0,1,1.662
1620,5,3,0.214232,0.962891,0,0,1.660
1640,7,7,0.182280,0.935619,1,0,1.663
1660,3,3,0.457375,0.999931,1,0,1.662
1680,6,6,0.255953,0.983535,1,0,1.660
1700,5,5,0.337388,0.997535,1,0,1.661
1720,4,4,0.391702,0.999451,1,0,1.660
1740,1,1,0.457375,0.999931,1,0,1.661
1760,0,0,0.457375,0.999931,1,0,1.662
1780,7,7,0.376336,0.999144,1,0,1.661
1800,4,4,0.131892,0.864137,1,0,1.661
1820,8,8,0.257588,0.984086,1,0,1.661
1840,8,8,0.256227,0.983629,1,0,1.661
1860,8,8,0.457375,0.999931,1,0,1.660
1880,1,1,0.457375,0.999931,1,0,1.661
1900,8,8,0.457375,0.999931,1,0,1.660
1920,2,2,0.457375,0.999931,1,0,1.662
1940,5,5,0.457375,0.999931,1,0,1.662
1960,2,5,0.006351,0.521104,0,0,1.662
1980,9,9,0.442757,0.999888,1,0,1.662
2000,1,1,0.410473,0.999688,1,0,1.662
2020,9,9,0.457375,0.999931,1,0,1.663
2040,0,0,0.457375,0.999931,1,0,1.662
2060,5,3,0.203684,0.955186,0,0,1.664
2080,1,1,0.110546,0.821532,1,0,1.662
2100,2,2,0.402861,0.999606,1,0,1.663
2120,4,8,0.097963,0.792853,0,0,1.663
2140,9,9,0.457375,0.999931,1,0,1.663
2160,0,0,0.457375,0.999931,1,0,1.663
2180,4,4,0.457375,0.999931,1,0,1.661
2200,0,0,0.163701,0.913743,1,0,1.663
2220,1,1,0.457375,0.999931,1,0,1.663
2240,9,9,0.193328,0.946417,1,0,1.662
2260,4,4,0.395000,0.999502,1,0,1.664
2280,4,4,0.291495,0.992432,1,0,1.661
2300,3,3,0.143661,0.884381,1,0,1.661
2320,5,3,0.096889,0.790285,0,0,1.662
2340,7,7,0.457375,0.999931,1,0,1.662
2360,7,7,0.448695,0.999908,1,0,1.664
2380,8,8,0.457375,0.999931,1,0,1.662
2400,0,0,0.457375,0.999931,1,0,1.661
2420,8,8,0.022337,0.573835,1,0,1.662
2440,7,7,0.348542,0.998161,1,0,1.663
2460,9,9,0.295229,0.993058,1,0,1.662
2480,8,8,0.457375,0.999931,1,0,1.661
2500,4,4,0.053300,0.671540,1,0,1.662
2520,1,1,0.368028,0.998919,1,0,1.662
2540,2,2,0.118138,0.837560,1,0,1.662
2560,7,7,0.258567,0.984408,1,0,1.662
2580,6,6,0.029982,0.598648,1,0,1.662
2600,8,8,0.457375,0.999931,1,0,1.662
2620,1,1,0.457375,0.999931,1,0,1.662
2640,7,7,0.457375,0.999931,1,0,1.661
2660,3,3,0.175550,0.928255,1,0,1.660
2680,0,0,0.457375,0.999931,1,0,1.662
2700,9,9,0.161507,0.910832,1,0,1.663
2720,3,3,0.425409,0.999804,1,0,1.661
2740,1,1,0.416944,0.999744,1,0,1.663
2760,2,2,0.448695,0.999908,1,0,1.663
2780,7,7,0.457375,0.999931,1,0,1.662
2800,4,4,0.411958,0.999702,1,0,1.663
2820,6,6,0.457375,0.999931,1,0,1.661
2840,3,3,0.326084,0.996710,1,0,1.662
2860,5,5,0.074043,0.731390,1,0,1.659
2880,4,4,0.457375,0.999931,1,0,1.660
2900,3,3,0.117014,0.835250,1,0,1.662
2920,2,2,0.406424,0.999647,1,0,1.660
2940,3,0,0.418825,0.999759,0,0,1.660
2960,9,0,0.088245,0.768944,0,0,1.662
2980,8,8,0.457375,0.999931,1,0,1.662
3000,5,5,0.457375,0.999931,1,0,1.660
3020,1,1,0.293420,0.992761,1,0,1.662
3040,7,7,0.457375,0.999931,1,0,1.661
3060,7,7,0.457375,0.999931,1,0,1.662
3080,1,1,0.457375,0.999931,1,0,1.662
3100,0,0,0.220432,0.966890,1,0,1.661
3120,4,4,0.259824,0.984814,1,0,1.661
3140,8,8,0.438119,0.999869,1,0,1.662
3160,6,-1,0.000000,0.483951,0,1,1.661
3180,3,3,0.020593,0.568126,1,0,1.663
3200,5,5,0.457375,0.999931,1,0,1.662
3220,3,9,0.169338,0.920900,0,0,1.660
3240,4,4,0.329806,0.997006,1,0,1.662
3260,7,7,0.457375,0.999931,1,0,1.662
3280,3,3,0.438119,0.999869,1,0,1.660
3300,4,4,0.344601,0.997958,1,0,1.661
3320,2,2,0.078293,0.742941,1,0,1.663
3340,6,6,0.457375,0.999931,1,0,1.659
3360,4,4,0.457375,0.999931,1,0,1.660
3380,8,8,0.457375,0.999931,1,0,1.661
